Iters;Times
100;1951016
100;110070
100;90235
100;88629
100;87861
100;88209
100;87650
100;87651
100;87512
100;87302
200;832089
200;198768
200;167200
200;157282
200;155187
200;155187
200;158749
200;176978
200;159168
200;157423
500;913314
500;427987
500;405429
500;380845
500;377353
500;395581
500;376095
500;394044
500;371905
500;370648
1000;1256026
1000;808343
1000;759803
1000;825803
1000;794095
1000;788718
1000;758407
1000;773283
1000;776006
1000;771886
2000;2349740
2000;1787238
2000;1481194
2000;1326425
2000;869035
2000;563060
2000;585968
2000;595606
2000;585340
2000;569277
5000;2592438
5000;1932578
5000;1833403
5000;1861130
5000;1782978
5000;1812032
5000;1854426
5000;1794781
5000;1793035
5000;1777600
10000;5606858
10000;4778051
10000;4612388
10000;4673709
10000;4648146
10000;4737055
10000;4719664
10000;4787131
10000;4612318
10000;4629988
20000;15166313
20000;14249996
20000;13619119
20000;13560592
20000;14030554
20000;13384452
20000;13413088
20000;13509608
20000;13467494
20000;13591951
50000;72202193
50000;68596218
50000;68041958
50000;68682263
50000;68749660
50000;68564720
50000;68837031
50000;68642803
50000;64431862
50000;64093970
100000;240279001
100000;228424353
100000;224277597
100000;227410327
100000;224418117
100000;225708715
100000;227815337
100000;230277731
100000;225634823
100000;228330207
